order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,335,4,254.56,0.0,1018.25
2,1,85,5,383.46,57.52,1629.68
3,2,483,3,39.12,1.96,111.48
4,2,19,5,40.57,4.06,182.54
5,3,548,4,187.5,0.0,750.02
6,4,158,4,192.64,9.63,732.05
7,4,36,5,392.46,0.0,1962.3
8,4,536,1,53.38,5.34,48.04
9,5,54,5,153.24,22.99,651.25
10,5,207,2,268.16,13.41,509.51
11,5,205,1,428.6,0.0,428.6
12,5,15,3,52.93,0.0,158.79
13,6,99,2,336.29,0.0,672.58
14,6,426,5,44.29,4.43,199.3
15,7,576,2,459.13,68.87,780.52
16,7,439,1,158.07,0.0,158.07
17,7,366,3,281.38,42.21,717.51
18,8,13,4,297.16,14.86,1129.2
19,8,68,3,275.66,27.57,744.26
20,8,45,1,167.66,25.15,142.51
21,9,512,1,244.32,12.22,232.1
22,9,258,1,105.8,15.87,89.93
23,9,137,3,443.06,44.31,1196.26
24,10,70,3,100.69,15.1,256.77
25,10,392,5,195.54,9.78,928.79
26,10,516,5,139.26,0.0,696.28
27,10,239,1,228.51,0.0,228.51
28,11,243,4,168.56,0.0,674.23
29,11,62,2,57.5,5.75,103.5
30,11,207,2,268.22,0.0,536.45
31,12,455,3,359.49,35.95,970.62
32,12,41,5,436.15,65.42,1853.64
33,13,25,2,110.8,11.08,199.44
34,13,351,2,278.19,0.0,556.38
35,13,255,2,122.85,18.43,208.84
36,14,188,4,365.47,0.0,1461.86
37,14,504,1,488.99,0.0,488.99
38,14,145,2,234.51,11.73,445.55
39,15,242,5,258.79,38.82,1099.87
40,15,319,2,502.57,25.13,954.87
41,16,181,5,450.84,45.08,2028.79
42,16,591,4,428.59,21.43,1628.65
43,16,279,4,347.98,34.8,1252.72
44,16,408,4,165.44,24.82,562.5
45,17,518,5,244.69,12.23,1162.31
46,17,494,1,167.12,25.07,142.05
47,17,86,3,113.61,5.68,323.8
48,17,567,2,468.79,70.32,796.95
49,18,465,3,465.64,69.85,1187.36
50,18,74,3,346.42,51.96,883.39
51,18,201,2,518.2,0.0,1036.41
52,19,513,3,344.01,51.6,877.23
53,20,383,4,154.58,0.0,618.31
54,20,419,1,419.32,0.0,419.32
55,20,395,5,70.06,10.51,297.73
56,20,262,3,395.8,59.37,1009.29
57,21,60,4,99.03,4.95,376.34
58,21,249,4,261.98,26.2,943.11
59,21,29,2,356.01,53.4,605.23
60,22,261,2,216.18,10.81,410.74
61,22,13,1,332.36,49.85,282.51
62,23,83,5,151.77,22.77,645.0
63,23,170,4,238.23,23.82,857.65
64,23,513,5,355.52,53.33,1510.96
65,23,316,4,318.77,0.0,1275.09
66,24,587,3,234.38,23.44,632.82
67,25,408,3,159.73,7.99,455.21
68,25,504,1,412.16,61.82,350.34
69,26,296,4,457.11,45.71,1645.62
70,26,191,2,114.8,5.74,218.12
71,26,515,1,479.58,23.98,455.6
72,26,191,2,111.4,5.57,211.67
73,27,266,4,99.25,0.0,397.0
74,27,171,1,43.99,6.6,37.39
75,28,284,1,330.96,16.55,314.41
76,29,497,1,91.75,9.18,82.57
77,29,8,5,71.39,0.0,356.97
78,29,100,2,90.48,0.0,180.96
79,29,385,5,204.22,20.42,918.98
80,30,485,3,291.57,29.16,787.24
81,30,380,3,423.42,21.17,1206.76
82,30,370,4,214.81,0.0,859.23
83,30,365,3,59.57,0.0,178.7
84,31,412,2,271.75,0.0,543.5
85,31,544,3,114.17,5.71,325.37
86,31,378,4,170.25,25.54,578.83
87,31,528,4,260.02,0.0,1040.1
88,32,18,3,287.94,28.79,777.45
89,32,455,2,396.14,59.42,673.44
90,32,84,3,93.43,14.01,238.27
91,33,395,3,76.74,3.84,218.7
92,34,131,4,181.89,18.19,654.81
93,35,173,4,362.39,54.36,1232.12
94,35,554,2,450.25,22.51,855.48
95,35,92,1,330.86,0.0,330.86
96,35,165,3,112.09,11.21,302.65
97,36,264,4,159.03,0.0,636.13
98,36,140,5,31.65,4.75,134.52
99,37,341,2,443.81,0.0,887.62
100,38,387,4,471.72,70.76,1603.83
101,38,239,2,212.55,21.26,382.58
102,38,90,1,205.42,10.27,195.15
103,39,587,3,204.09,20.41,551.03
104,40,591,1,377.1,18.85,358.25
105,40,398,4,343.97,34.4,1238.27
106,40,130,5,56.86,2.84,270.12
107,40,110,4,34.99,5.25,118.97
108,41,149,3,483.98,72.6,1234.14
109,41,467,2,71.76,3.59,136.33
110,41,36,5,401.11,0.0,2005.56
111,42,588,4,136.13,6.81,517.27
112,42,507,3,139.67,20.95,356.16
113,42,61,3,348.12,17.41,992.12
114,43,54,2,182.23,27.33,309.79
115,43,307,2,501.04,75.16,851.76
116,44,433,4,432.55,64.88,1470.68
117,44,401,1,120.44,12.04,108.4
118,44,290,2,512.97,76.95,872.05
119,45,135,3,412.81,0.0,1238.42
120,46,469,2,41.76,6.26,71.01
121,46,495,3,112.62,5.63,320.97
122,46,224,2,43.35,0.0,86.7
123,47,590,1,475.37,23.77,451.6
124,47,386,4,410.64,20.53,1560.43
125,47,58,1,125.34,18.8,106.54
126,48,54,1,186.43,18.64,167.79
127,48,445,2,476.88,71.53,810.7
128,49,35,1,257.91,38.69,219.22
129,49,310,5,104.75,15.71,445.2
130,50,475,4,304.64,45.7,1035.76
131,51,12,1,301.62,0.0,301.62
132,51,501,5,252.56,37.88,1073.39
133,51,281,1,282.14,14.11,268.03
134,52,496,4,120.04,6.0,456.14
135,52,102,3,270.61,13.53,771.23
136,52,416,1,99.43,14.91,84.52
137,52,66,5,175.54,0.0,877.69
138,53,121,2,348.98,17.45,663.06
139,53,6,5,236.6,23.66,1064.68
140,54,41,2,418.29,20.91,794.76
141,55,576,3,479.45,0.0,1438.34
142,56,128,5,90.43,4.52,429.57
143,57,1,2,349.87,34.99,629.76
144,57,547,4,399.98,60.0,1359.93
145,57,321,5,301.14,30.11,1355.16
146,57,552,5,279.32,0.0,1396.61
147,58,243,1,150.31,15.03,135.28
148,59,138,5,394.23,39.42,1774.07
149,59,285,2,235.84,35.38,400.93
150,60,564,3,39.5,1.98,112.57
151,61,468,1,299.95,44.99,254.96
152,61,147,5,68.78,6.88,309.49
153,61,198,3,32.84,1.64,93.61
154,61,430,2,276.64,41.5,470.28
155,62,27,5,15.06,1.51,67.75
156,62,128,5,86.88,13.03,369.25
157,62,68,3,275.13,27.51,742.87
158,62,342,3,445.91,22.3,1270.82
159,63,11,1,382.23,19.11,363.12
160,63,388,1,190.95,0.0,190.95
161,63,180,5,496.68,49.67,2235.05
162,64,98,5,418.69,41.87,1884.11
163,64,565,3,137.15,0.0,411.44
164,64,175,3,474.58,71.19,1210.16
165,64,186,3,76.61,11.49,195.36
166,65,131,3,154.86,7.74,441.35
167,65,130,2,53.73,5.37,96.71
168,65,55,3,433.01,21.65,1234.09
169,65,429,4,69.24,6.92,249.26
170,66,515,3,462.64,69.4,1179.73
171,66,534,2,18.75,0.0,37.5
172,66,313,4,207.95,0.0,831.78
173,66,82,1,293.49,0.0,293.49
174,67,590,1,420.86,42.09,378.77
175,67,568,4,92.01,0.0,368.06
176,68,521,2,132.58,0.0,265.16
177,68,416,1,103.95,0.0,103.95
178,68,436,5,305.35,15.27,1450.41
179,68,541,5,257.77,38.67,1095.5
180,69,537,2,370.86,37.09,667.54
181,69,137,5,459.93,0.0,2299.64
182,70,508,4,344.68,0.0,1378.73
183,70,347,2,519.36,0.0,1038.73
184,70,298,3,140.97,14.1,380.62
185,70,219,1,506.53,75.98,430.55
186,71,313,5,210.12,0.0,1050.61
187,71,475,5,341.2,0.0,1706.02
188,72,7,5,394.08,39.41,1773.35
189,72,363,1,202.86,10.14,192.72
190,72,412,3,270.74,40.61,690.39
191,73,203,1,81.8,4.09,77.71
192,73,421,1,415.87,0.0,415.87
193,73,160,3,347.66,52.15,886.53
194,73,384,3,384.87,19.24,1096.89
195,74,112,4,235.85,35.38,801.87
196,74,166,2,480.15,72.02,816.26
197,74,6,3,257.46,12.87,733.78
198,75,195,3,37.69,5.65,96.13
199,76,340,1,246.6,12.33,234.27
200,76,491,3,40.23,6.03,102.6
201,76,564,4,43.98,2.2,167.11
202,76,333,4,335.89,50.38,1142.06
203,77,113,1,458.14,22.91,435.23
204,77,160,3,367.81,18.39,1048.26
205,78,351,4,323.75,0.0,1294.98
206,79,492,3,89.7,0.0,269.09
207,79,440,2,326.76,16.34,620.84
208,79,256,3,57.69,5.77,155.77
209,79,254,4,115.99,0.0,463.98
210,80,194,5,248.18,12.41,1178.84
211,80,235,1,126.41,0.0,126.41
212,81,197,2,93.67,4.68,177.98
213,81,94,1,374.09,37.41,336.68
214,81,237,2,350.13,52.52,595.22
215,82,523,4,427.49,42.75,1538.95
216,83,276,3,307.06,30.71,829.06
217,84,253,3,377.23,18.86,1075.1
218,84,42,1,217.03,21.7,195.33
219,84,218,3,249.8,0.0,749.39
220,84,442,2,156.65,23.5,266.31
221,85,343,3,141.56,0.0,424.69
222,85,566,2,81.79,8.18,147.22
223,85,542,5,89.54,8.95,402.95
224,86,599,4,375.8,0.0,1503.18
225,86,134,5,113.27,5.66,538.06
226,87,457,1,78.91,7.89,71.02
227,87,309,4,178.71,8.94,679.08
228,88,45,2,146.06,14.61,262.9
229,88,574,3,57.2,8.58,145.85
230,89,447,1,153.89,0.0,153.89
231,90,281,2,255.24,0.0,510.48
232,90,195,4,41.47,0.0,165.87
233,91,449,5,307.38,46.11,1306.35
234,91,411,5,91.24,4.56,433.4
235,92,164,5,445.44,0.0,2227.18
236,93,516,5,127.33,6.37,604.79
