order_id,customer_id,order_date,status,shipping_method,shipping_cost,order_subtotal,order_total,currency,payment_status
1,329,2025-01-10 22:56:05.176457,Completed,Overnight,18.22,2647.93,2666.15,USD,Paid
2,453,2024-03-04 15:33:50.177458,Pending,2-Day,22.84,294.02,316.86,USD,Paid
3,383,2024-09-23 21:25:45.177458,Completed,Ground,12.88,750.02,762.9,USD,Paid
4,519,2025-06-05 12:40:44.177458,Processing,Pickup,3.39,2742.39,2745.78,USD,Paid
5,198,2024-05-26 18:21:47.177458,Pending,2-Day,20.92,1748.15,1769.07,USD,Paid
6,370,2025-03-04 13:51:50.177458,Completed,2-Day,6.85,871.88,878.73,USD,Paid
7,127,2024-07-26 20:40:37.177458,Completed,Ground,6.05,1656.1,1662.15,USD,Paid
8,486,2024-07-01 17:26:22.177458,Completed,Overnight,8.61,2015.97,2024.58,USD,Paid
9,396,2025-02-23 11:46:37.177458,Processing,Ground,4.07,1518.29,1522.36,USD,Paid
10,663,2024-04-08 07:15:53.177458,Cancelled,2-Day,16.94,2110.35,2127.29,USD,Paid
11,21,2025-02-11 15:20:40.177458,Completed,Ground,11.85,1314.18,1326.03,USD,Pending
12,9,2025-07-01 15:29:52.177458,Processing,2-Day,6.31,2824.26,2830.57,USD,Paid
13,386,2025-01-05 15:39:59.177458,Processing,Overnight,11.47,964.66,976.13,USD,Paid
14,534,2025-04-04 22:04:33.177458,Processing,Pickup,14.61,2396.4,2411.01,USD,Paid
15,384,2025-11-06 20:26:39.177458,Returned,Overnight,7.46,2054.74,2062.2,USD,Paid
16,284,2025-07-26 21:31:42.177458,Pending,Overnight,21.54,5472.66,5494.2,USD,Paid
17,668,2025-02-19 15:10:46.177458,Completed,Overnight,4.71,2425.11,2429.82,USD,Paid
18,615,2024-06-03 06:19:08.177458,Cancelled,Pickup,16.51,3107.16,3123.67,USD,Pending
19,672,2023-12-18 09:58:24.177458,Completed,Pickup,24.94,877.23,902.17,USD,Paid
20,755,2025-02-21 23:49:42.177458,Completed,Ground,14.58,2344.65,2359.23,USD,Pending
21,731,2024-04-08 08:09:12.177458,Processing,2-Day,17.16,1924.68,1941.84,USD,Paid
22,688,2024-01-30 21:44:49.177458,Cancelled,Overnight,12.68,693.25,705.93,USD,Paid
23,186,2025-05-23 15:07:30.177458,Cancelled,Overnight,2.44,4288.7,4291.14,USD,Paid
24,573,2025-07-06 05:39:02.177458,Completed,2-Day,23.67,632.82,656.49,USD,Paid
25,364,2024-12-05 15:14:26.177458,Pending,2-Day,18.61,805.55,824.16,USD,Paid
26,340,2025-01-03 23:45:32.177458,Completed,Overnight,6.51,2531.01,2537.52,USD,Paid
27,482,2025-01-16 22:10:58.177458,Cancelled,Ground,21.66,434.39,456.05,USD,Paid
28,73,2024-03-26 17:56:22.177458,Cancelled,Pickup,22.24,314.41,336.65,USD,Paid
29,391,2024-06-20 10:42:20.177458,Cancelled,Overnight,10.33,1539.48,1549.81,USD,Paid
30,351,2025-06-13 10:04:00.177458,Returned,Pickup,24.68,3031.93,3056.61,USD,Paid
31,733,2024-08-03 09:51:12.177458,Processing,2-Day,19.47,2487.8,2507.27,USD,Paid
32,182,2024-07-03 02:57:26.177458,Completed,Overnight,15.86,1689.16,1705.02,USD,Paid
33,780,2025-11-09 22:36:33.177458,Processing,2-Day,14.41,218.7,233.11,USD,Paid
34,799,2025-06-04 21:14:35.177458,Completed,Ground,3.24,654.81,658.05,USD,Paid
35,440,2024-08-26 16:00:12.177458,Completed,Pickup,9.58,2721.11,2730.69,USD,Paid
36,383,2025-10-06 19:38:01.177458,Processing,Ground,22.3,770.65,792.95,USD,Pending
37,5,2024-05-20 08:07:45.177458,Pending,2-Day,5.66,887.62,893.28,USD,Paid
38,393,2024-11-27 03:42:18.177458,Processing,Overnight,4.18,2181.56,2185.74,USD,Paid
39,467,2025-09-29 04:12:39.177458,Cancelled,Overnight,10.84,551.03,561.87,USD,Paid
40,502,2023-12-12 10:11:48.177458,Processing,Overnight,18.75,1985.61,2004.36,USD,Paid
41,230,2025-05-30 00:22:51.177458,Pending,2-Day,5.28,3376.03,3381.31,USD,Pending
42,127,2025-10-22 17:35:52.178458,Completed,Overnight,17.78,1865.55,1883.33,USD,Paid
43,262,2025-10-07 01:24:27.178458,Cancelled,Ground,14.85,1161.55,1176.4,USD,Paid
44,21,2025-09-26 11:07:54.178458,Completed,Ground,17.24,2451.13,2468.37,USD,Paid
45,561,2024-09-13 22:53:27.178458,Completed,Overnight,11.86,1238.42,1250.28,USD,Pending
46,646,2025-06-11 07:35:10.178458,Completed,Ground,7.53,478.68,486.21,USD,Paid
47,277,2024-01-07 11:23:29.178458,Completed,2-Day,10.47,2118.57,2129.04,USD,Pending
48,121,2025-07-29 20:26:30.178458,Completed,Overnight,2.85,978.49,981.34,USD,Paid
49,205,2025-07-28 20:56:45.178458,Processing,Overnight,20.79,664.42,685.21,USD,Paid
50,303,2025-04-22 02:02:11.178458,Completed,2-Day,0.99,1035.76,1036.75,USD,Paid
51,493,2024-06-24 07:30:22.178458,Completed,Overnight,5.86,1643.04,1648.9,USD,Paid
52,588,2025-11-01 11:49:39.178458,Cancelled,Pickup,3.73,2189.58,2193.31,USD,Paid
53,741,2025-08-13 20:26:14.178458,Pending,Ground,22.62,1727.74,1750.36,USD,Paid
54,304,2024-01-25 06:39:06.178458,Completed,Overnight,11.61,794.76,806.37,USD,Paid
55,298,2025-08-04 08:42:26.178458,Cancelled,Overnight,20.04,1438.34,1458.38,USD,Paid
56,98,2024-12-28 23:33:28.178458,Completed,Ground,0.24,429.57,429.81,USD,Paid
57,367,2025-06-25 15:30:15.178458,Processing,Pickup,23.88,4741.46,4765.34,USD,Paid
58,351,2025-02-13 11:41:01.178458,Completed,2-Day,2.85,135.28,138.13,USD,Paid
59,395,2024-09-30 22:26:45.178458,Processing,Pickup,20.0,2175.0,2195.0,USD,Paid
60,713,2024-01-20 08:59:44.178458,Processing,Ground,24.54,112.57,137.11,USD,Paid
61,605,2025-06-04 11:17:31.178458,Completed,Pickup,20.06,1128.34,1148.4,USD,Pending
62,389,2023-12-20 23:06:54.178458,Processing,Overnight,15.28,2450.69,2465.97,USD,Paid
63,500,2023-12-15 10:18:39.178458,Completed,Ground,22.19,2789.12,2811.31,USD,Paid
64,671,2024-08-20 13:23:39.178458,Pending,Overnight,0.31,3701.07,3701.38,USD,Paid
65,591,2023-12-20 19:57:36.178458,Completed,2-Day,24.45,2021.41,2045.86,USD,Paid
66,705,2023-12-30 02:45:03.178458,Completed,Ground,10.82,2342.5,2353.32,USD,Paid
67,693,2025-03-04 21:31:17.178458,Processing,Pickup,3.72,746.83,750.55,USD,Paid
68,659,2024-04-21 16:45:09.178458,Pending,2-Day,12.64,2915.02,2927.66,USD,Paid
69,77,2024-07-21 21:00:54.178458,Cancelled,Pickup,8.02,2967.18,2975.2,USD,Paid
70,229,2024-12-11 04:56:26.178458,Pending,Pickup,10.08,3228.63,3238.71,USD,Paid
71,587,2025-03-19 12:11:52.178458,Completed,Pickup,2.2,2756.63,2758.83,USD,Paid
72,510,2024-06-21 22:47:26.178458,Processing,Ground,2.57,2656.46,2659.03,USD,Paid
73,1,2024-09-18 13:45:48.178458,Completed,Ground,19.79,2477.0,2496.79,USD,Pending
74,521,2024-02-19 15:51:21.178458,Processing,2-Day,16.36,2351.91,2368.27,USD,Paid
75,56,2024-08-04 02:39:28.178458,Completed,2-Day,21.11,96.13,117.24,USD,Paid
76,615,2024-12-09 18:40:24.178458,Completed,Pickup,17.92,1646.04,1663.96,USD,Paid
77,778,2024-11-06 22:35:30.178458,Processing,2-Day,0.05,1483.49,1483.54,USD,Paid
78,299,2024-11-15 15:59:49.178458,Returned,Overnight,17.55,1294.98,1312.53,USD,Paid
79,735,2025-09-29 09:05:28.178458,Completed,Pickup,2.67,1509.68,1512.35,USD,Paid
80,403,2024-02-28 07:56:05.178458,Processing,2-Day,11.43,1305.25,1316.68,USD,Pending
81,425,2025-05-03 02:45:51.178458,Processing,Ground,23.17,1109.88,1133.05,USD,Paid
82,462,2023-12-26 17:37:48.178458,Processing,Pickup,16.46,1538.95,1555.41,USD,Pending
83,5,2024-06-16 10:09:57.178458,Returned,Ground,13.83,829.06,842.89,USD,Paid
84,521,2024-08-27 17:45:52.178458,Completed,2-Day,17.3,2286.13,2303.43,USD,Pending
85,674,2025-05-21 10:23:37.178458,Processing,Overnight,12.6,974.86,987.46,USD,Paid
86,710,2024-10-16 23:49:29.178458,Returned,2-Day,6.84,2041.24,2048.08,USD,Paid
87,137,2024-11-28 04:21:27.178458,Completed,2-Day,10.32,750.1,760.42,USD,Paid
88,719,2023-11-28 20:24:57.178458,Processing,Overnight,17.8,408.75,426.55,USD,Paid
89,215,2024-04-26 16:02:11.178458,Processing,Overnight,17.17,153.89,171.06,USD,Paid
90,666,2023-12-27 10:14:15.178458,Returned,2-Day,12.6,676.35,688.95,USD,Paid
91,119,2023-12-04 15:52:48.178458,Processing,Overnight,14.06,1739.75,1753.81,USD,Paid
92,728,2024-03-27 18:17:30.178458,Cancelled,Pickup,16.86,2227.18,2244.04,USD,Paid
93,433,2024-05-17 04:39:27.178458,Cancelled,Ground,13.07,2701.1,2714.17,USD,Paid
94,687,2025-10-20 01:12:03.178458,Processing,Ground,5.0,2051.94,2056.94,USD,Paid
95,150,2025-06-03 04:37:57.178458,Completed,Ground,17.26,2515.08,2532.34,USD,Paid
96,34,2025-01-16 07:38:26.178458,Completed,Overnight,20.35,3377.91,3398.26,USD,Paid
97,758,2025-08-01 16:38:10.178458,Cancelled,2-Day,18.56,1988.98,2007.54,USD,Paid
98,713,2024-04-19 00:54:32.178458,Processing,Overnight,17.32,2528.6,2545.92,USD,Paid
99,702,2025-09-27 01:10:30.178458,Completed,Overnight,24.15,2306.72,2330.87,USD,Paid
100,208,2025-09-20 14:35:45.178458,Completed,Pickup,20.75,39.64,60.39,USD,Paid
101,603,2024-02-04 15:29:18.178458,Completed,2-Day,19.4,1655.05,1674.45,USD,Paid
102,700,2025-04-30 04:21:26.178458,Completed,Ground,4.67,746.11,750.78,USD,Pending
103,42,2025-05-20 20:21:34.178458,Processing,Pickup,6.98,940.0,946.98,USD,Paid
104,262,2025-02-17 10:19:56.178458,Processing,Ground,8.26,1258.65,1266.91,USD,Paid
105,331,2023-11-19 09:25:54.178458,Pending,Ground,19.34,865.09,884.43,USD,Paid
106,309,2024-02-12 16:39:15.178458,Completed,Pickup,19.75,106.06,125.81,USD,Paid
107,725,2024-04-30 02:01:50.179452,Pending,Overnight,13.13,46.59,59.72,USD,Paid
108,518,2025-05-09 20:06:48.179452,Pending,2-Day,10.4,2516.27,2526.67,USD,Paid
109,227,2024-05-14 00:22:48.179452,Pending,2-Day,16.58,225.7,242.28,USD,Paid
110,771,2024-12-10 01:55:54.179452,Processing,Pickup,24.92,1331.77,1356.69,USD,Paid
111,355,2024-01-20 14:44:51.179452,Processing,Pickup,6.01,1251.22,1257.23,USD,Paid
112,250,2024-01-26 16:43:25.179452,Cancelled,Ground,17.06,1494.71,1511.77,USD,Paid
113,117,2024-12-21 01:10:57.179452,Cancelled,Pickup,6.41,328.37,334.78,USD,Paid
114,789,2025-01-29 14:10:06.179452,Cancelled,Overnight,12.86,2660.5,2673.36,USD,Paid
115,304,2024-06-11 22:50:44.179452,Completed,2-Day,8.01,2159.93,2167.94,USD,Paid
116,792,2025-08-22 11:34:27.179452,Processing,Ground,15.67,997.73,1013.4,USD,Paid
117,702,2025-04-12 16:08:53.179452,Completed,Pickup,20.89,1084.21,1105.1,USD,Paid
118,760,2025-04-17 19:29:20.179452,Completed,Pickup,16.16,120.84,137.0,USD,Paid
119,735,2025-09-02 09:28:12.179452,Pending,Overnight,0.95,1728.52,1729.47,USD,Paid
120,258,2025-08-31 13:05:31.179452,Processing,Ground,14.37,2224.58,2238.95,USD,Paid
121,462,2025-03-26 05:39:03.179452,Completed,Pickup,10.83,401.19,412.02,USD,Paid
122,548,2025-10-28 00:53:12.179452,Completed,Ground,16.04,1710.07,1726.11,USD,Paid
123,600,2024-02-20 12:45:56.179452,Completed,Ground,17.52,2767.33,2784.85,USD,Paid
124,109,2025-09-01 02:02:40.179452,Cancelled,Overnight,19.67,3711.95,3731.62,USD,Paid
125,784,2025-01-09 16:59:01.179452,Pending,Pickup,9.54,483.63,493.17,USD,Paid
126,547,2024-01-08 13:56:45.179452,Completed,2-Day,3.41,1317.81,1321.22,USD,Paid
127,650,2024-10-09 19:11:55.179452,Processing,2-Day,7.45,1021.64,1029.09,USD,Paid
128,12,2024-01-21 01:28:58.179452,Returned,2-Day,3.08,1229.65,1232.73,USD,Paid
129,551,2025-11-08 18:12:57.179452,Completed,Ground,7.62,2176.03,2183.65,USD,Paid
130,662,2024-11-27 07:21:32.179452,Completed,2-Day,4.02,2407.29,2411.31,USD,Paid
131,199,2025-04-01 16:36:28.179452,Completed,Ground,4.53,243.28,247.81,USD,Paid
132,563,2024-04-13 13:05:16.179452,Cancelled,Pickup,16.12,2153.51,2169.63,USD,Pending
133,257,2025-09-01 04:29:08.179452,Completed,Ground,4.94,3145.75,3150.69,USD,Paid
134,366,2024-03-29 21:19:47.179452,Returned,2-Day,16.78,1566.31,1583.09,USD,Paid
135,72,2025-03-19 11:25:31.179452,Processing,2-Day,7.94,3537.33,3545.27,USD,Paid
136,314,2024-08-10 03:06:48.179452,Completed,2-Day,14.14,2786.87,2801.01,USD,Paid
137,173,2024-11-06 03:33:02.179452,Returned,Ground,7.83,2866.53,2874.36,USD,Paid
