payment_id,order_id,customer_id,payment_date,payment_method,payment_amount,transaction_id,status
1,1,329,2025-01-10 22:56:05.176457,Credit Card,-2666.15,TXN-18741781,Refunded
2,2,453,2024-03-08 15:33:50.177458,Credit Card,316.86,TXN-93025237,Completed
3,3,383,2024-09-28 21:25:45.177458,PayPal,762.9,TXN-59710508,Completed
4,4,519,2025-06-05 12:40:44.177458,Debit Card,2745.78,TXN-10792100,Completed
5,5,198,2024-05-30 18:21:47.177458,Credit Card,1769.07,TXN-62013029,Completed
6,6,370,2025-03-04 13:51:50.177458,Debit Card,439.37,TXN-94327199,Pending
7,7,127,2024-07-30 20:40:37.177458,Credit Card,1662.15,TXN-12656619,Completed
8,8,486,2024-07-04 17:26:22.177458,Bank Transfer,2024.58,TXN-96542269,Completed
9,9,396,2025-02-28 11:46:37.177458,Bank Transfer,1522.36,TXN-61911006,Completed
10,10,663,2024-04-13 07:15:53.177458,Debit Card,2127.29,TXN-75842162,Completed
11,11,21,2025-02-13 15:20:40.177458,Gift Card,1326.03,TXN-74307616,Completed
12,12,9,2025-07-02 15:29:52.177458,Gift Card,0.0,TXN-82001727,Failed
13,13,386,2025-01-06 15:39:59.177458,Debit Card,0.0,TXN-48502168,Failed
14,14,534,2025-04-05 22:04:33.177458,Gift Card,2411.01,TXN-44522269,Completed
15,15,384,2025-11-08 20:26:39.177458,Credit Card,0.0,TXN-67946703,Failed
16,16,284,2025-07-27 21:31:42.177458,Credit Card,2747.1,TXN-71731037,Pending
17,17,668,2025-02-23 15:10:46.177458,Debit Card,2429.82,TXN-63986524,Completed
18,18,615,2024-06-08 06:19:08.177458,PayPal,3123.67,TXN-37930832,Completed
19,19,672,2023-12-21 09:58:24.177458,Gift Card,0.0,TXN-71818207,Failed
20,20,755,2025-02-24 23:49:42.177458,Gift Card,2359.23,TXN-72212219,Completed
21,21,731,2024-04-10 08:09:12.177458,Gift Card,1941.84,TXN-27866349,Completed
22,22,688,2024-01-31 21:44:49.177458,Debit Card,705.93,TXN-39119785,Completed
23,23,186,2025-05-27 15:07:30.177458,Debit Card,4291.14,TXN-98493234,Completed
24,24,573,2025-07-08 05:39:02.177458,Gift Card,328.25,TXN-83578898,Pending
25,25,364,2024-12-08 15:14:26.177458,PayPal,0.0,TXN-96436223,Failed
26,26,340,2025-01-06 23:45:32.177458,Debit Card,2537.52,TXN-73113531,Completed
27,27,482,2025-01-21 22:10:58.177458,Gift Card,456.05,TXN-50308304,Completed
28,28,73,2024-03-30 17:56:22.177458,Gift Card,0.0,TXN-16829764,Failed
29,29,391,2024-06-22 10:42:20.177458,Bank Transfer,1549.81,TXN-31034514,Completed
30,30,351,2025-06-17 10:04:00.177458,Gift Card,3056.61,TXN-34201500,Completed
31,31,733,2024-08-03 09:51:12.177458,Debit Card,0.0,TXN-61804106,Failed
32,32,182,2024-07-04 02:57:26.177458,PayPal,1705.02,TXN-85613436,Completed
33,33,780,2025-11-14 22:36:33.177458,Gift Card,116.56,TXN-87184473,Pending
34,34,799,2025-06-05 21:14:35.177458,Debit Card,329.02,TXN-65202373,Pending
35,35,440,2024-08-27 16:00:12.177458,Debit Card,2730.69,TXN-75321753,Completed
36,36,383,2025-10-10 19:38:01.177458,Bank Transfer,792.95,TXN-94300224,Completed
37,37,5,2024-05-25 08:07:45.177458,Credit Card,0.0,TXN-18772342,Failed
38,38,393,2024-11-27 03:42:18.177458,Credit Card,2185.74,TXN-54494335,Completed
39,39,467,2025-10-01 04:12:39.177458,PayPal,0.0,TXN-37247147,Failed
40,40,502,2023-12-13 10:11:48.177458,PayPal,2004.36,TXN-18861468,Completed
41,41,230,2025-06-01 00:22:51.177458,Bank Transfer,3381.31,TXN-69943922,Completed
42,42,127,2025-10-27 17:35:52.178458,Debit Card,1883.33,TXN-48888385,Completed
43,43,262,2025-10-11 01:24:27.178458,Debit Card,1176.4,TXN-30403362,Completed
44,44,21,2025-09-26 11:07:54.178458,Bank Transfer,2468.37,TXN-92985330,Completed
45,45,561,2024-09-17 22:53:27.178458,Bank Transfer,1250.28,TXN-94380335,Completed
46,46,646,2025-06-13 07:35:10.178458,Debit Card,486.21,TXN-25214980,Completed
47,47,277,2024-01-08 11:23:29.178458,Gift Card,2129.04,TXN-23028371,Completed
48,48,121,2025-07-30 20:26:30.178458,Gift Card,490.67,TXN-73459898,Pending
49,49,205,2025-07-29 20:56:45.178458,Credit Card,685.21,TXN-88675126,Completed
50,50,303,2025-04-24 02:02:11.178458,Gift Card,1036.75,TXN-88502768,Completed
51,51,493,2024-06-27 07:30:22.178458,Credit Card,1648.9,TXN-76003853,Completed
52,52,588,2025-11-05 11:49:39.178458,PayPal,0.0,TXN-55604049,Failed
53,53,741,2025-08-15 20:26:14.178458,Credit Card,-1750.36,TXN-33788142,Refunded
54,54,304,2024-01-27 06:39:06.178458,Gift Card,806.37,TXN-30063671,Completed
